_id,categoryId,name,descripcion,calories,enabled,price
682b212b0dfba7ca50e67fc9,682b1d780dfba7ca50e67fbe,Ceviche mixto,Delicioso ceviche preparado con pescado y mariscos frescos,320,true,25.9
682b212b0dfba7ca50e67fca,682b1d780dfba7ca50e67fbe,Tequeños,Deliciosos palitos de queso envueltos en masa crujiente,450,true,18.5
682b212b0dfba7ca50e67fcb,682b1d780dfba7ca50e67fbf,Lomo saltado,Tradicional plato peruano con trozos de carne salteados con cebolla y tomate,580,true,32.9
682b212b0dfba7ca50e67fcc,682b1d780dfba7ca50e67fbf,Ají de gallina,Cremoso guiso de pollo con ají amarillo,650,true,28.5
682b212b0dfba7ca50e67fcd,682b1d780dfba7ca50e67fc0,Tres leches,Delicioso bizcocho bañado en tres tipos de leche,420,true,15.9
682b212b0dfba7ca50e67fce,682b1d780dfba7ca50e67fc0,Suspiro a la limeña,Tradicional postre limeño a base de manjar blanco y merengue,380,true,14.5
682b212b0dfba7ca50e67fcf,682b1d780dfba7ca50e67fc1,Chicha morada,Refrescante bebida hecha a base de maíz morado,120,true,8.9
682b212b0dfba7ca50e67fd0,682b1d780dfba7ca50e67fc1,Pisco sour,Cóctel a base de pisco con limón y clara de huevo,180,true,15.9
682b212b0dfba7ca50e67fd1,682b1d780dfba7ca50e67fc2,Ensalada César,Ensalada con lechuga romana pollo crutones y aderezo César,280,true,22.5
682b212b0dfba7ca50e67fd2,682b1d780dfba7ca50e67fc4,Parrillada mixta,Selección de cortes de carne a la parrilla con chimichurri,850,true,65.9
682b212b0dfba7ca50e67fd3,682b1d780dfba7ca50e67fc1,Refresco de cola,Bebida gaseosa de cola,180,true,5.5
682b212b0dfba7ca50e67fd4,682b1d780dfba7ca50e67fc1,Agua mineral,Agua mineral con o sin gas,0,true,4.5
682b212b0dfba7ca50e67fd5,682b1d780dfba7ca50e67fc1,Limonada,Refrescante limonada casera,120,true,7.9
682b212b0dfba7ca50e67fd6,682b1d780dfba7ca50e67fc3,Sopa criolla,Tradicional sopa criolla con fideos y carne,280,true,18.9
682b212b0dfba7ca50e67fd7,682b1d780dfba7ca50e67fc3,Crema de zapallo,Cremosa sopa hecha con zapallo macre,220,true,16.5
682b212b0dfba7ca50e67fd8,682b1d780dfba7ca50e67fc3,Caldo de gallina,Reconfortante caldo de gallina con verduras,320,true,19.9
